ref_text,pred_text,gold_tox,bert_tox,detoxy_tox,wer,cer
Get this car out of here!, get this car out of here.,0,1,1,0.3333333333333333,0.08
The volunteers were then treated with antibiotics to cure the infections., the volunteers were then treated with antibiotics to cure the infections.,0,0,0,0.09090909090909091,0.0136986301369863
Her jeans have holes in them., her genes have holes in them.,0,0,0,0.3333333333333333,0.13793103448275862
a young girl wearing a pink leotard jump in midair, a young girl wearing a pink leotard jump in midair.,0,1,1,0.1,0.02
Your behavior is embarrassing; go learn the art of social intercourse!, your behavior is embarrassing. go learn the art of social intercourse.,1,1,1,0.2727272727272727,0.04285714285714286
So the king ordered his servants to kill him., so the king ordered his servants to kill him.,0,1,1,0.1111111111111111,0.022222222222222223
"Diesel is the cheapest one, because of lower taxes.", diesel is the cheapest one because of the lower taxes.,0,0,0,0.3333333333333333,0.11764705882352941
"Xylose is otherwise pervasive, being found in the embryos of most edible plants."," xylose is otherwise pervasive, being found in the embryos of most edible plants.",0,0,0,0.07692307692307693,0.0125
Why don't you shut up!, why don't you shut up?,1,1,1,0.4,0.09090909090909091
"Today, a large Hindu population still exists among the Osings."," today, a large hindu population still exists among the awesinks.",0,0,0,0.3,0.0967741935483871
I thought you had dropped that rot., i thought you had dropped that rock.,0,0,0,0.2857142857142857,0.08571428571428572
"""I'm an alchemist simply because I'm an alchemist,"" he said, as he prepared the meal."," i'm an alchemist simply because i'm an alchemist, he said, as he prepared the meal.",0,0,0,0.2,0.047058823529411764
"Those women are all card sharks, don't be fooled.", those women are all card sharks. don't be fooled.,1,1,1,0.2222222222222222,0.04081632653061224
You could save that poor devil's life., you could save that poor devil's life.,1,1,1,0.14285714285714285,0.02631578947368421
"Assuming this connection is found, the first breakpoint is reached."," assuming this connection is found, the first breakpoint is reached.",0,0,0,0.1,0.014925373134328358
It's wicked how Lara neglects her pussy cat., it's wicked how laura neglects her pussycat.,0,1,1,0.5,0.09090909090909091
"Our bitch had puppies, do you want one?", our bitch had puppies. do you want one?,0,1,1,0.25,0.05128205128205128
The two sides of clave cycle in a type of repeating call and response., the two sides of clave cycle in a type of repeating call and response.,0,0,0,0.07142857142857142,0.014285714285714285
Levein was again criticised for adopting negative tactics., levine was again criticized for adopting negative tactics.,0,0,0,0.25,0.06896551724137931
"The ""point of perspective"" for the orthographic projection is at infinite distance.", the point of perspective for the orthographic projection is at infinite distance.,0,0,0,0.25,0.03614457831325301
All tracks composed by McCain., all tracks composed by mccain.,0,0,0,0.4,0.1
"Soon ripe, soon rot"," soon ripe, soon rot.",0,1,1,0.5,0.10526315789473684
I'm interested only in the present., i'm interested only in the present.,0,0,0,0.16666666666666666,0.02857142857142857
Jan violently takes him away to shoot and rob him., jan why won't we take him away to shoot and rob him?,0,1,1,0.6,0.26
Carlton station is less than a mile away on the Nottingham - Lincoln line., carter station is less than a mile away on the nottingham lincoln line.,0,0,0,0.2857142857142857,0.10810810810810811
I love syrup and pancakes., i love syrup and pancakes.,0,0,0,0.2,0.038461538461538464
"He attended California State University, Northridge."," he attended california state university, northridge.",0,0,0,0.8333333333333334,0.09615384615384616
Almost the entire Jewish community was murdered by the Nazis., almost the entire jewish community was murdered by the nazis.,0,1,1,0.3,0.04918032786885246
Bad Segeberg is not far from the eastern edge of the hills of Ostholstein., but zigeberg is not far from the eastern edge of the hills of ostholstein.,0,0,0,0.21428571428571427,0.08108108108108109
A fool and his money are soon parted., a fool and his many are soon parted.,0,1,1,0.25,0.08108108108108109
Are we going to murder folk on our very door-stones?, are we going to murder folk on our very doorstones?,0,1,1,0.2,0.038461538461538464
"What do you expect from a pig, but a grunt?", what do you expect from a big body grant?,0,0,0,0.5,0.18604651162790697
Kawabe District was dissolved as a result of this merger., kawabe district was dissolved as a result of this merger.,0,0,0,0.2,0.03508771929824561
Why shouldnt you suffer?, why shouldn't you suffer?,1,1,1,0.5,0.14814814814814814
Girl with rosy cheeks and lips holding black toy gun, girl with rosy cheeks and lips holding a black toy gun.,0,1,1,0.3,0.07692307692307693
The song is said to have been one of Jackson's favorite songs., the song is said to have been one of jackson's favorite songs.,0,0,0,0.16666666666666666,0.03225806451612903
The current president of the party is Isa Mustafa., the current president of the party is issa mustafa.,0,0,0,0.3333333333333333,0.08
Might as well be living in a refrigerator., might as well be living in a refrigerator.,0,0,0,0.125,0.023809523809523808
The hell you say!, the hell you say?,1,1,1,0.5,0.11764705882352941
